date,region,category,product,channel,segment,units,unit_price,revenue
2025-06-04,North,Grocery,Tea,Online,Consumer,6,12.51,75.06
2025-06-05,West,Electronics,Headphones,Online,Consumer,7,147.39,1031.73
2025-06-07,East,Apparel,Backpack,Online,Consumer,4,59.66,238.64
2025-06-07,East,Grocery,Olive Oil,Retail,Business,6,20.89,125.34
2025-06-08,North,Home,Vacuum,Online,Consumer,3,222.66,667.98
2025-06-10,East,Grocery,Tea,Online,Consumer,6,13.29,79.74
2025-06-12,East,Grocery,Coffee,Online,Consumer,5,13.92,69.6
2025-06-13,West,Apparel,Sneakers,Online,Consumer,6,86.14,516.84
2025-06-13,East,Apparel,Backpack,Online,Consumer,8,60.55,484.4
2025-06-13,North,Electronics,Headphones,Online,Consumer,18,162.39,2923.02
2025-06-14,East,Home,Lamp,Online,Consumer,5,42.29,211.45
2025-06-15,West,Electronics,Headphones,Online,Consumer,5,140.66,703.3
2025-06-18,North,Electronics,Headphones,Retail,Consumer,11,146.51,1611.61
2025-06-19,East,Grocery,Coffee,Online,Consumer,7,16.38,114.66
2025-06-20,West,Grocery,Snacks,Online,Business,2,7.2,14.4
2025-06-20,North,Home,Vacuum,Online,Business,2,230.81,461.62
2025-06-20,North,Apparel,T-Shirt,Retail,Consumer,4,27.37,109.48
2025-06-20,West,Grocery,Snacks,Online,Consumer,4,7.3,29.2
2025-06-21,North,Electronics,Phone,Online,Consumer,11,778.88,8567.68
2025-06-21,North,Grocery,Snacks,Retail,Consumer,8,7.52,60.16
2025-06-22,East,Grocery,Snacks,Retail,Business,9,9.01,81.09
2025-06-23,South,Home,Vacuum,Online,Consumer,6,220.11,1320.66
2025-06-24,North,Apparel,Jacket,Online,Consumer,9,102.47,922.23
2025-06-29,East,Grocery,Olive Oil,Retail,Consumer,7,22.81,159.67
2025-06-29,North,Electronics,Laptop,Retail,Business,10,1125.71,11257.1
2025-07-05,North,Home,Cookware,Online,Consumer,5,107.95,539.75
2025-07-05,West,Apparel,Sneakers,Online,Business,5,94.13,470.65
2025-07-06,South,Apparel,Backpack,Online,Consumer,2,61.8,123.6
2025-07-07,North,Electronics,Phone,Online,Consumer,6,773.35,4640.1
2025-07-07,East,Home,Cookware,Online,Consumer,11,108.75,1196.25
2025-07-08,East,Grocery,Tea,Retail,Business,4,12.31,49.24
2025-07-08,South,Grocery,Tea,Retail,Consumer,5,13.72,68.6
2025-07-10,South,Electronics,Phone,Online,Consumer,5,720.41,3602.05
2025-07-11,North,Electronics,Headphones,Retail,Consumer,10,163.93,1639.3
2025-07-12,South,Home,Blender,Online,Business,5,83.87,419.35
2025-07-12,North,Home,Cookware,Retail,Consumer,4,118.63,474.52
2025-07-13,South,Apparel,Sneakers,Retail,Consumer,4,94.6,378.4
2025-07-13,South,Home,Lamp,Online,Business,4,44.42,177.68
2025-07-20,North,Electronics,Headphones,Online,Consumer,18,142.9,2572.2
2025-07-22,West,Apparel,Sneakers,Online,Consumer,7,94.69,662.83
2025-07-23,North,Electronics,Monitor,Online,Consumer,4,265.58,1062.32
2025-07-27,East,Apparel,Jacket,Retail,Business,6,109.11,654.66
2025-07-28,West,Home,Vacuum,Retail,Business,7,226.55,1585.85
2025-07-28,South,Home,Cookware,Retail,Consumer,5,114.65,573.25
2025-07-29,South,Grocery,Olive Oil,Online,Consumer,6,18.83,112.98
2025-07-30,North,Grocery,Tea,Online,Consumer,11,11.92,131.12
2025-08-01,West,Home,Cookware,Online,Consumer,6,123.85,743.1
2025-08-03,East,Home,Cookware,Online,Consumer,9,105.6,950.4
2025-08-03,West,Home,Vacuum,Retail,Consumer,4,283.39,1133.56
2025-08-03,North,Home,Lamp,Retail,Business,10,37.9,379.0
2025-08-03,East,Electronics,Phone,Online,Consumer,7,704.92,4934.44
2025-08-04,North,Electronics,Monitor,Online,Consumer,8,334.64,2677.12
2025-08-04,West,Electronics,Monitor,Retail,Consumer,9,332.15,2989.35
2025-08-05,North,Electronics,Phone,Online,Consumer,4,807.28,3229.12
2025-08-05,South,Home,Vacuum,Retail,Consumer,2,230.8,461.6
2025-08-07,North,Grocery,Olive Oil,Online,Business,11,19.56,215.16
2025-08-14,North,Apparel,Sneakers,Online,Consumer,7,85.98,601.86
2025-08-15,North,Grocery,Olive Oil,Online,Consumer,11,22.12,243.32
2025-08-16,North,Electronics,Headphones,Online,Consumer,14,140.95,1973.3
2025-08-16,East,Grocery,Snacks,Online,Consumer,7,8.6,60.2
2025-08-18,West,Electronics,Monitor,Online,Business,8,265.05,2120.4
2025-08-19,East,Apparel,Jacket,Online,Consumer,1,110.91,110.91
2025-08-21,North,Home,Lamp,Retail,Consumer,5,40.25,201.25
2025-08-21,South,Electronics,Headphones,Online,Consumer,5,164.52,822.6
2025-08-21,North,Electronics,Phone,Online,Consumer,12,759.04,9108.48
2025-08-22,North,Home,Cookware,Retail,Business,13,115.95,1507.35
2025-08-23,North,Home,Vacuum,Retail,Consumer,8,261.47,2091.76
2025-08-23,North,Electronics,Laptop,Online,Business,12,1109.63,13315.56
2025-08-23,East,Home,Blender,Retail,Business,8,93.78,750.24
2025-08-26,West,Grocery,Snacks,Retail,Consumer,6,7.79,46.74
2025-08-28,West,Electronics,Laptop,Online,Business,9,1280.57,11525.13
2025-08-30,East,Home,Vacuum,Retail,Consumer,5,274.21,1371.05
2025-09-04,West,Apparel,T-Shirt,Retail,Consumer,7,23.91,167.37
2025-09-04,North,Electronics,Headphones,Retail,Consumer,11,165.27,1817.97
2025-09-06,South,Grocery,Coffee,Online,Consumer,1,15.95,15.95
2025-09-06,East,Grocery,Olive Oil,Online,Consumer,5,19.14,95.7
2025-09-06,North,Home,Vacuum,Online,Business,15,224.38,3365.7
2025-09-10,South,Electronics,Monitor,Retail,Consumer,1,271.94,271.94
2025-09-11,North,Apparel,Jacket,Online,Consumer,3,98.89,296.67
2025-09-12,East,Apparel,T-Shirt,Retail,Business,8,27.64,221.12
2025-09-16,South,Grocery,Snacks,Retail,Consumer,4,8.48,33.92
2025-09-18,North,Home,Blender,Online,Consumer,6,83.7,502.2
2025-09-19,North,Home,Lamp,Online,Consumer,3,41.58,124.74
2025-09-20,North,Grocery,Coffee,Retail,Consumer,5,13.6,68.0
2025-09-21,West,Electronics,Monitor,Online,Consumer,5,307.4,1537.0
2025-09-24,South,Home,Lamp,Online,Business,6,37.19,223.14
2025-09-27,East,Electronics,Monitor,Retail,Consumer,6,299.02,1794.12
2025-09-27,South,Apparel,Jacket,Retail,Consumer,5,104.56,522.8
2025-09-28,West,Grocery,Snacks,Retail,Business,4,8.0,32.0
2025-09-29,North,Grocery,Tea,Online,Consumer,11,12.57,138.27
2025-10-02,North,Apparel,Backpack,Online,Consumer,2,60.87,121.74
2025-10-04,West,Apparel,T-Shirt,Retail,Consumer,4,27.65,110.6
2025-10-04,West,Electronics,Headphones,Retail,Consumer,6,141.78,850.68
2025-10-05,North,Apparel,Jacket,Online,Consumer,9,97.54,877.86
2025-10-06,East,Electronics,Headphones,Retail,Consumer,11,168.36,1851.96
2025-10-06,North,Home,Lamp,Retail,Consumer,2,37.66,75.32
2025-10-06,South,Electronics,Phone,Online,Business,10,751.4,7514.0
2025-10-07,North,Electronics,Laptop,Online,Consumer,14,1177.36,16483.04
2025-10-09,North,Electronics,Laptop,Retail,Business,13,1129.89,14688.57
2025-10-09,South,Grocery,Olive Oil,Online,Consumer,4,21.06,84.24
2025-10-10,North,Apparel,Sneakers,Retail,Consumer,5,90.91,454.55
2025-10-11,North,Apparel,Sneakers,Retail,Consumer,5,100.56,502.8
2025-10-15,South,Home,Blender,Retail,Consumer,5,96.77,483.85
2025-10-15,West,Electronics,Headphones,Online,Consumer,4,158.68,634.72
2025-10-16,East,Grocery,Olive Oil,Retail,Consumer,7,20.21,141.47
2025-10-16,North,Electronics,Headphones,Online,Consumer,8,163.64,1309.12
2025-10-18,East,Electronics,Phone,Online,Consumer,8,826.82,6614.56
2025-10-19,East,Grocery,Olive Oil,Online,Business,7,21.33,149.31
2025-10-20,East,Home,Cookware,Retail,Consumer,9,120.71,1086.39
2025-10-23,North,Electronics,Monitor,Online,Consumer,6,272.65,1635.9
2025-10-25,East,Electronics,Monitor,Retail,Consumer,12,284.12,3409.44
2025-10-25,North,Apparel,Jacket,Retail,Consumer,8,100.25,802.0
2025-10-27,West,Electronics,Monitor,Online,Business,7,326.76,2287.32
2025-10-28,North,Home,Cookware,Online,Business,10,113.61,1136.1
2025-10-29,East,Home,Blender,Online,Consumer,7,97.33,681.31
2025-10-31,East,Electronics,Laptop,Retail,Consumer,9,1218.51,10966.59
2025-10-31,North,Home,Blender,Online,Consumer,5,94.95,474.75
2025-11-02,North,Electronics,Phone,Online,Consumer,10,722.96,7229.6
2025-11-03,East,Electronics,Phone,Retail,Consumer,10,892.75,8927.5
2025-11-03,East,Apparel,Sneakers,Online,Consumer,5,89.86,449.3
2025-11-05,West,Apparel,Jacket,Online,Consumer,2,114.66,229.32
2025-11-06,South,Home,Blender,Online,Business,7,80.41,562.87
2025-11-07,East,Electronics,Phone,Retail,Consumer,12,855.47,10265.64
2025-11-08,East,Electronics,Headphones,Online,Consumer,10,153.61,1536.1
2025-11-10,North,Grocery,Snacks,Online,Business,2,7.85,15.7
2025-11-12,East,Apparel,T-Shirt,Online,Consumer,8,24.79,198.32
2025-11-16,East,Electronics,Headphones,Retail,Business,12,149.25,1791.0
2025-11-18,North,Grocery,Coffee,Online,Consumer,6,15.1,90.6
2025-11-19,East,Home,Vacuum,Online,Consumer,5,269.26,1346.3
2025-11-21,East,Apparel,Backpack,Retail,Consumer,3,55.49,166.47
2025-11-23,West,Home,Cookware,Online,Consumer,6,105.04,630.24
2025-11-24,North,Apparel,Sneakers,Online,Business,4,84.93,339.72
2025-11-24,West,Electronics,Laptop,Retail,Consumer,6,1233.93,7403.58
2025-11-25,North,Grocery,Olive Oil,Online,Business,7,20.14,140.98
2025-11-25,East,Apparel,Sneakers,Retail,Consumer,4,100.4,401.6
2025-11-26,East,Apparel,Backpack,Online,Consumer,6,55.88,335.28
2025-11-27,North,Home,Cookware,Retail,Consumer,1,126.29,126.29
2025-11-27,South,Grocery,Coffee,Online,Consumer,5,16.55,82.75
2025-11-29,East,Grocery,Snacks,Online,Consumer,9,7.29,65.61
2025-11-29,South,Home,Blender,Retail,Consumer,4,100.96,403.84
2025-12-01,East,Apparel,Jacket,Retail,Consumer,7,120.01,840.07
2025-12-02,North,Grocery,Tea,Retail,Consumer,7,12.13,84.91
2025-12-04,East,Grocery,Coffee,Online,Consumer,3,14.88,44.64
2025-12-06,West,Apparel,T-Shirt,Retail,Consumer,4,23.7,94.8
2025-12-07,West,Home,Lamp,Online,Business,3,37.87,113.61
2025-12-10,North,Electronics,Phone,Online,Consumer,10,788.08,7880.8
2025-12-10,East,Grocery,Tea,Online,Consumer,3,11.46,34.38
2025-12-10,North,Grocery,Coffee,Retail,Business,7,15.84,110.88
2025-12-13,East,Grocery,Olive Oil,Online,Consumer,8,18.74,149.92
2025-12-14,North,Electronics,Phone,Retail,Consumer,10,767.2,7672.0
2025-12-15,North,Electronics,Phone,Online,Consumer,7,727.78,5094.46
2025-12-15,East,Apparel,Backpack,Online,Consumer,4,66.53,266.12
2025-12-19,East,Grocery,Olive Oil,Retail,Business,7,21.88,153.16
2025-12-20,North,Home,Cookware,Online,Consumer,6,126.89,761.34
2025-12-20,North,Grocery,Coffee,Retail,Consumer,1,15.29,15.29
2025-12-21,North,Apparel,Backpack,Online,Consumer,5,66.88,334.4
2025-12-21,East,Home,Cookware,Online,Consumer,6,125.7,754.2
2025-12-23,East,Electronics,Laptop,Online,Consumer,7,1146.9,8028.3
2025-12-26,North,Home,Cookware,Online,Consumer,10,114.62,1146.2
2025-12-28,South,Electronics,Laptop,Online,Consumer,4,1091.11,4364.44
2025-12-29,North,Home,Lamp,Online,Business,9,42.93,386.37
2025-12-31,West,Electronics,Headphones,Online,Consumer,9,147.29,1325.61
